,year,selling_price,km_driven,mileage,engine,max_power,seats
353,2010,160000,80000,19.7,796,46.3,5
354,2015,409999,135000,24.4,1120,71.01,5
355,2015,840000,120000,12.99,2494,100.6,7
356,2013,450000,67000,23.59,1364,67.1,5
357,2017,900000,50000,28.4,1248,74.02,5
358,2008,570000,134000,12.8,2494,102.0,7
359,2011,254999,110000,23.08,1461,63.1,5
360,2009,130000,40000,16.1,796,37.0,4
361,2013,530000,120000,23.4,1248,74.0,5
362,2015,520000,110000,20.14,1498,88.8,5
363,2011,229999,170000,21.0,1461,64.1,5
364,2004,81000,80000,16.1,796,37.0,4
365,2016,600000,47000,25.2,1248,74.0,5
366,2015,409999,93000,19.1,1197,81.86,5
367,2015,292000,70000,20.0,1399,68.05,5
368,2012,390000,80000,13.93,2179,138.03,7
369,2016,550000,44000,18.16,1196,86.8,5
370,2014,385000,25000,23.1,998,67.04,5
371,2016,800000,25000,15.29,1591,121.3,5
372,2019,675000,10000,21.21,1197,81.8,5
373,2018,1525000,50000,17.6,2179,153.86,7
374,2018,950000,30000,23.0,1498,98.96,5
375,2015,610000,50000,21.19,1396,88.73,5
376,2012,525000,120000,22.54,1396,88.73,5
377,2015,375000,80000,15.96,2523,62.1,7
378,2015,580000,90000,20.45,1461,83.8,5
379,2015,434999,50000,20.4,1197,83.11,5
380,2020,350000,2136,22.5,999,67.0,5
381,2012,730000,250000,12.99,2494,100.0,7
382,2015,1050000,120000,12.99,2494,100.6,7
383,2017,735000,70000,27.39,1248,74.0,5
384,2018,1050000,18000,19.6,1461,108.45,5
385,2016,420000,110000,18.2,1248,73.74,7
386,2017,800000,60000,23.65,1248,88.5,5
387,2015,2000000,60000,12.55,2982,168.5,7
388,2016,600000,147000,26.59,1248,74.0,5
389,2015,1900000,130000,12.55,2982,168.5,7
390,2011,500000,99500,11.5,1991,147.9,7
391,2011,200000,110000,17.0,1405,71.0,5
392,2016,370000,35000,19.49,1198,67.04,5
393,2010,260000,110000,16.2,1493,110.0,5
394,2014,610000,21000,16.02,1373,93.7,7
395,2013,300000,60000,23.5,1498,90.0,5
396,2010,140000,40000,16.6,1405,70.0,5
397,2008,229999,50000,19.81,1086,68.05,5
398,2010,200000,65000,19.0,998,66.1,5
399,2011,200000,80000,18.9,998,67.1,5
400,2015,560000,119000,23.9,1582,126.2,5
401,2016,750000,80000,24.52,1248,88.5,7
402,2017,585000,90000,25.2,1248,74.0,5
403,2016,760000,20000,17.01,1591,121.4,5
404,2014,430000,80000,25.2,1248,74.0,5
405,2020,480000,44665,25.32,1198,77.0,6
406,2019,643000,10000,20.8,1493,113.4,5
407,2018,500000,60000,20.14,1197,81.86,5
408,2016,425000,22000,18.5,1198,86.8,5
409,2014,250000,25000,22.74,796,47.3,5
410,2016,285000,70000,27.62,793,47.0,5
411,2008,160000,123000,17.5,1298,85.8,5
412,2011,250000,70000,20.54,1598,103.6,5
413,2013,409999,45000,23.59,1364,67.06,5
414,2015,400000,40000,18.9,1197,82.0,5
415,2019,700000,30000,28.4,1248,74.02,5
416,2007,350000,90000,12.9,1799,130.0,5
417,2016,660000,34000,17.5,1373,91.1,7
418,2017,268000,25000,24.7,796,47.3,5
419,2013,300000,50000,25.44,936,57.6,5
420,2017,450000,90000,23.84,1199,84.0,5
421,2012,220000,70000,25.44,936,57.6,5
422,2009,250000,146000,13.93,2179,138.0,7
423,2012,300000,85000,15.6,1196,70.0,5
424,2009,88000,201850,17.88,1396,52.8,5
425,2016,561000,30000,26.59,1248,74.0,5
426,2018,755000,15000,28.4,1248,74.02,5
427,2011,165000,90000,20.92,998,67.1,5
428,2008,190000,80000,19.3,1248,73.9,5
429,2011,110000,50000,17.2,1396,53.5,5
430,2012,320000,80000,13.6,2523,63.0,8
431,2010,330000,110000,19.43284223558543,1435,88.10307019094766,5
432,2016,540000,38000,18.6,1197,81.83,5
433,2016,270000,100000,15.37,1196,73.0,7
434,2012,450000,30000,17.5,1197,85.8,5
435,2014,450000,30000,19.1,1197,85.8,5
436,2015,200000,50000,18.6,1199,76.8,5
437,2016,400000,30000,18.2,1199,82.4,5
438,2009,125000,60000,19.7,796,46.3,5
439,2018,1600000,14000,17.1,1956,170.0,5
440,2015,900000,22000,17.4,1497,117.3,5
441,2012,450000,90000,20.54,1598,103.6,5
442,2018,801000,20000,18.6,1197,81.83,5
443,2014,317000,15000,15.42,1405,70.0,7
444,2014,330000,30000,18.5,1197,82.85,5
445,2010,160000,50000,19.43284223558543,1435,88.10307019094766,5
446,2007,120000,110000,15.3,1341,83.0,5
447,2015,220000,80000,18.2,1199,82.4,5
448,2008,229999,50000,19.43284223558543,1435,88.10307019094766,5
449,2015,340000,110000,17.57,1193,88.7,5
450,2013,200000,70000,19.68,1399,67.0,5
451,2002,140000,50000,19.7,796,46.3,5
452,2013,1000000,190000,12.99,2494,100.6,8
453,2010,495000,100000,13.6,2523,63.0,7
454,2015,236000,60000,22.74,796,47.3,5
455,2009,275000,90000,19.3,1248,73.9,5
456,2017,775000,32000,24.3,1248,88.5,5
457,2016,1800000,30000,11.36,2755,171.5,7
458,2018,750000,5000,24.3,1248,88.5,5
459,2018,580000,32000,18.9,1197,81.86,5
460,2016,484999,30000,18.7,1199,88.7,5
461,2017,700000,43000,15.4,1497,117.3,7
462,2012,415000,60000,17.7,1497,113.42,5
463,2015,325000,50000,19.34,1198,76.0,5
464,2018,550000,14200,18.16,1196,86.8,5
465,2017,300000,10000,21.1,814,55.2,5
466,2018,217000,25000,22.7,799,53.64,5
467,2018,700000,19100,19.0,1194,94.68,5
468,2014,484999,54000,23.0,1498,98.96,5
469,2018,670000,35000,22.71,1461,84.8,5
470,2018,500000,20000,18.9,1197,81.86,5
471,2016,675000,52000,23.65,1248,88.5,5
472,2011,220000,120000,23.0,1396,90.0,5
473,2013,630000,120000,20.77,1248,88.8,7
474,2010,250000,90000,18.8,1248,90.0,5
475,2013,525000,75000,22.32,1582,126.3,5
476,2011,204999,97500,19.43284223558543,1435,0.0,5
477,2016,1100000,100000,15.4,1997,120.0,7
478,2012,480000,55735,19.01,1461,108.45,5
479,2014,605000,80000,15.1,2179,140.0,7
480,2016,250000,50000,24.7,796,47.3,5
481,2013,245000,70000,20.0,1399,68.1,5
482,2012,210000,76000,20.36,1197,78.9,5
483,2020,730000,1500,21.21,1197,81.8,5
484,2012,500000,76000,15.96,2523,62.1,7
485,2015,280000,60000,21.1,814,55.2,5
486,2009,561000,170000,12.8,2494,102.0,8
487,2013,950000,181491,13.5,2477,175.56,7
488,2016,375000,53319,25.44,936,56.3,5
489,2017,700000,40906,21.66,1498,108.62,5
490,2012,375000,31711,17.6,1496,88.7,5
491,2012,270000,43755,21.1,814,55.2,5
492,2010,225000,59549,19.0,998,67.1,5
493,2015,1350000,94385,12.99,2494,100.6,8
494,2010,200000,73730,18.2,998,67.1,5
495,2013,1500000,148120,14.24,2755,174.5,7
496,2018,580000,30000,18.9,1197,81.86,5
497,2011,337000,142000,13.7,2179,138.1,7
498,2011,175000,20000,12.2,1948,68.0,10
499,2009,180000,120000,18.8,1248,90.0,5
500,2011,200000,80000,19.81,1086,68.05,5
501,2016,260000,60000,19.09,1405,69.01,5
502,2016,350000,25000,23.01,999,67.0,5
503,2011,409999,50000,13.6,2523,63.0,7
504,2017,655000,126000,18.49,1493,100.0,7
505,2015,370000,170000,26.59,1248,74.0,5
506,2013,200000,24000,22.74,796,47.3,5
507,2017,800000,100000,24.52,1248,88.5,7
508,2019,550000,10000,24.0,1199,83.81,5
509,2012,300000,70000,20.0,1399,68.0,5
510,2011,196000,110000,18.9,998,67.1,5
511,2008,135000,80000,19.81,1086,68.05,5
512,2015,299000,16500,17.57,1193,88.7,5
513,2017,300000,30000,23.95,998,67.05,5
514,2017,720000,80000,24.52,1248,88.5,7
515,2016,300000,25000,23.95,998,67.05,5
516,2019,750000,20000,24.0,1186,73.97,5
517,2016,260000,60000,25.17,799,53.3,5
518,2014,600000,50000,15.96,2523,62.1,7
519,2004,275000,100000,9.0,2997,218.0,5
520,2015,250000,52000,23.95,998,67.05,5
521,2014,420000,80000,23.4,1248,74.0,5
522,2015,235000,50000,21.1,814,55.2,5
523,2016,1100000,60000,15.4,2179,120.0,7
524,2019,360000,25000,23.95,998,67.05,5
525,2014,380000,50000,24.0,1120,70.0,5
526,2016,650000,125000,22.77,1498,98.59,5
527,2016,350000,80000,20.51,998,67.04,5
528,2017,700000,70000,15.96,2523,63.0,9
529,2010,270000,90000,23.0,1396,90.0,5
530,2017,450000,50000,22.95,1248,74.0,5
531,2016,630000,101000,16.55,2498,105.0,6
532,2011,270000,40000,18.9,998,67.1,5
533,2009,135000,28900,0.0,1172,65.0,5
534,2012,275000,20000,18.9,998,67.1,5
535,2016,2000000,68089,19.16,2494,157.7,5
536,2015,634000,165000,18.49,1493,100.0,7
537,2012,235000,98500,19.0,998,66.1,5
538,2008,275000,98000,20.36,1197,78.9,5
539,2014,700000,40000,16.55,2498,105.0,6
540,2013,400000,90000,20.3,1248,92.0,5
541,2012,215000,90000,19.7,796,46.3,5
542,2009,150000,110000,17.1,1493,110.0,5
543,2018,950000,77800,25.1,1248,88.5,5
544,2015,730000,100000,18.49,1493,100.0,7
545,2016,350000,80000,19.1,1197,82.0,5
546,2018,535000,21000,18.15,1198,82.0,6
547,2018,455000,100000,19.0,1197,85.8,5
548,2019,655000,25000,21.21,1197,81.8,5
549,2019,800000,30000,23.0,1498,98.96,5
550,2018,1100000,25000,17.8,1496,105.5,5
551,2016,3000000,40000,13.0,2143,204.0,5
552,2012,1225000,160000,11.5,2982,169.0,7
553,2018,340000,51492,18.15,1198,82.0,6
554,2011,300000,72000,20.54,1598,103.6,5
555,2016,370000,60000,18.16,1196,86.8,5
556,2013,330000,136000,15.96,2523,62.1,7
557,2014,238000,60000,17.92,1086,62.1,5
558,2006,72000,110000,19.43284223558543,1435,88.10307019094766,5
559,2013,200000,90000,17.92,1086,62.1,5
560,2014,320000,91000,22.71,1461,84.8,5
561,2009,114999,90000,17.92,1086,62.1,5
562,2010,210000,20000,19.81,1086,68.05,5
563,2011,200000,120000,14.0,2489,95.0,8
564,2009,135000,150000,18.9,1061,67.0,5
565,2014,350000,167000,13.6,2523,63.0,8
566,2017,680000,40000,28.4,1248,74.02,5
567,2010,200000,190000,17.8,1248,75.0,5
568,2016,300000,50000,23.01,999,67.0,5
569,2011,270000,70000,14.0,2498,112.0,7
570,2012,225000,80000,18.9,998,67.1,5
571,2008,250000,120000,13.6,2523,63.0,8
572,2015,590000,40000,18.49,1493,100.0,7
573,2015,290000,17000,21.1,814,55.2,5
574,2016,395000,50000,23.1,998,67.04,5
575,2014,195000,65000,21.1,814,55.2,5
